system:index,Annual_rai,Aspect_Mad,DEM_Mada_R,Dist_sett,JRC_defory,JRC_degrady,MERGE_SRC,Slope_Mada,X,Y,dist_defor,dist_edge_,dist_river,dist_route,dist_track,popdens_ma,pressure_s,treated_An,treated_CF,treated_CZ,treated_TT,treeloss19,unique_id,.geo
0000000000000000140f_0000000000000000140f_0_0000000000000000140f_0,1707.0,1.2188744545,1049.0,3101.0480957,0,0,CFAM3,11.0826444626,858855.0,7914765.0,308.868896484,258.0,6311.84619141,6897.71679688,1590.0,0.0192511659116,44801.1132813,0,29485,0,0,0.0,sample_1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001409_00000000000000001409_0_00000000000000001409_0,1717.0,75.256439209,1018.0,3865.81176758,0,0,CFAM3,18.1309337616,858105.0,7914915.0,576.281188965,516.0,6046.69335938,7352.63232422,876.184936523,0.0171509217471,44931.6679688,0,29894,0,0,0.0,sample_2,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000140a_0000000000000000140a_0_0000000000000000140a_0,1717.0,321.842773438,1015.0,3719.27416992,0,0,CFAM3,8.43945026398,858255.0,7914915.0,496.588348389,497.0,6072.31445313,7285.12158203,998.598999023,0.0176653862,44915.546875,0,29895,0,0,0.0,sample_3,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000140b_0000000000000000140b_0_0000000000000000140b_0,1707.0,19.0577030182,1013.0,3573.02392578,0,0,CFAM3,13.628692627,858405.0,7914915.0,453.982391357,454.0,6101.51611328,7219.03710938,1127.69677734,0.0174471959472,44884.78125,0,29896,0,0,0.0,sample_4,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000140c_0000000000000000140c_0_0000000000000000140c_0,1707.0,290.924499512,1036.0,3427.09790039,0,0,CFAM3,16.874540329,858555.0,7914915.0,450.998901367,451.0,6134.24804688,7155.48730469,1256.42346191,0.0179442185909,44855.9726563,0,29897,0,0,0.0,sample_5,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000140d_0000000000000000140d_0_0000000000000000140d_0,1707.0,8.36588573456,1055.0,3281.53930664,0,0,CFAM3,15.9806890488,858705.0,7914915.0,484.664825439,469.0,6170.38085938,7094.54003906,1381.30371094,0.0178591422737,44842.296875,0,29898,0,0,0.0,sample_6,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000140e_0000000000000000140e_0_0000000000000000140e_0,1707.0,130.236358643,1034.0,3136.39916992,0,0,CFAM3,12.0170354843,858855.0,7914915.0,445.982055664,390.0,6173.07861328,7036.26318359,1507.48132324,0.0188449062407,44816.390625,0,29899,0,0,0.0,sample_7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001400_00000000000000001400_0_00000000000000001400_0,1639.0,292.380126953,1089.0,3154.56811523,0,0,CFAM3,8.71035480499,853155.0,7915065.0,1168.46057129,60.0,5131.49121094,10647.5908203,3844.21655273,0.0194354504347,46593.9101563,0,30275,0,0,0.0,sample_8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001401_00000000000000001401_0_00000000000000001401_0,1680.0,298.072479248,1020.0,2670.16845703,0,0,CFAM3,15.81919384,854805.0,7915065.0,569.209960938,42.0,5688.46191406,9439.89941406,2197.38476563,0.0174696594477,45869.7539063,0,30286,0,0,0.0,sample_9,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001402_00000000000000001402_0_00000000000000001402_0,1717.0,145.304840088,1043.0,3900.0,0,0,CFAM3,11.1799860001,858105.0,7915065.0,630.0,626.0,5898.64404297,7486.36767578,792.590698242,0.0174119900912,44940.6328125,0,30308,0,0,0.0,sample_10,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001403_00000000000000001403_0_00000000000000001403_0,1717.0,110.695449829,1042.0,3754.796875,0,0,CFAM3,11.3338165283,858255.0,7915065.0,635.688598633,636.0,5924.90527344,7419.46777344,924.175292969,0.0173723362386,44924.3125,0,30309,0,0,0.0,sample_11,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001404_00000000000000001404_0_00000000000000001404_0,1707.0,0.0,1007.0,3609.98608398,0,0,CFAM3,5.71059322357,858405.0,7915065.0,602.992553711,603.0,5954.83007813,7354.59033203,1049.57128906,0.0178527515382,44893.15625,0,30310,0,0,0.0,sample_12,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001405_00000000000000001405_0_00000000000000001405_0,1707.0,10.539182663,1027.0,3465.61694336,0,0,CFAM3,20.025894165,858555.0,7915065.0,600.749511719,601.0,5988.36376953,7292.22167969,1173.4564209,0.0181638561189,44863.953125,0,30311,0,0,0.0,sample_13,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001406_00000000000000001406_0_00000000000000001406_0,1707.0,2.86240458488,1008.0,3321.74658203,0,0,CFAM3,9.47392845154,858705.0,7915065.0,626.418395996,592.0,6024.62451172,7232.42675781,1302.49755859,0.0176893528551,44850.078125,0,30312,0,0,0.0,sample_14,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001407_00000000000000001407_0_00000000000000001407_0,1707.0,59.0362434387,1022.0,3178.44311523,0,0,CFAM3,10.9991579056,858855.0,7915065.0,589.406494141,532.0,6034.84863281,7175.27001953,1435.61828613,0.0182435382158,44823.78125,0,30313,0,0,0.0,sample_15,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001408_00000000000000001408_0_00000000000000001408_0,1707.0,299.623748779,1024.0,3035.78662109,0,0,CFAM3,13.7366952896,859005.0,7915065.0,570.0,510.0,5977.53271484,7119.61376953,1569.77709961,0.0198256112635,44799.3984375,0,30314,0,0,0.0,sample_16,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000013f5_000000000000000013f5_0_000000000000000013f5_0,1639.0,18.4349479675,1085.0,3208.31738281,0,2017,CFAM3,8.98487663269,853305.0,7915215.0,1129.29187012,247.0,5311.60986328,10631.0957031,3704.72680664,0.01873254776,46541.3515625,0,30690,0,0,0.0,sample_17,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000013f6_000000000000000013f6_0_000000000000000013f6_0,1639.0,348.690063477,1091.0,3139.55419922,0,0,CFAM3,1.21711814404,853455.0,7915215.0,1018.23376465,127.0,5349.17773438,10518.5410156,3555.34814453,0.018912198022,46497.2265625,0,30691,0,0,0.0,sample_18,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000013f7_000000000000000013f7_0_000000000000000013f7_0,1670.0,126.253837585,1018.0,2825.73876953,0,0,CFAM3,4.43181991577,854655.0,7915215.0,674.166137695,67.0,5767.02685547,9652.03125,2363.15478516,0.0174179617316,45973.2460938,0,30699,0,0,0.0,sample_19,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000013f8_000000000000000013f8_0_000000000000000013f8_0,1699.0,24.4439544678,1025.0,3939.60668945,0,0,CFAM3,14.1295032501,858105.0,7915215.0,635.688598633,552.0,5750.69580078,7620.53125,715.611633301,0.0176835730672,44958.0546875,0,30722,0,0,0.0,sample_20,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000013f9_000000000000000013f9_0_000000000000000013f9_0,1699.0,351.469238281,1025.0,3795.91894531,0,0,CFAM3,9.5662355423,858255.0,7915215.0,778.845275879,618.0,5777.62939453,7554.40283203,840.535522461,0.017624264583,44941.34375,0,30723,0,0,0.0,sample_21,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000013fa_000000000000000013fa_0_000000000000000013fa_0,1714.0,174.035507202,1028.0,3652.73876953,0,0,CFAM3,15.6786966324,858405.0,7915215.0,752.396179199,691.0,5808.31298828,7490.69433594,967.470947266,0.0174433849752,44909.40625,0,30724,0,0,0.0,sample_22,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000013fb_000000000000000013fb_0_000000000000000013fb_0,1714.0,154.983108521,1029.0,3510.12817383,0,0,CFAM3,22.480928421,858555.0,7915215.0,750.599731445,646.0,5842.6875,7429.46826172,1100.22729492,0.017954537645,44879.4179688,0,30725,0,0,0.0,sample_23,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000013fc_000000000000000013fc_0_000000000000000013fc_0,1714.0,105.255119324,1013.0,3368.15966797,0,0,CFAM3,13.362200737,858705.0,7915215.0,771.297607422,607.0,5879.08154297,7370.78710938,1234.38244629,0.018001306802,44865.15625,0,30726,0,0,0.0,sample_24,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000013fd_000000000000000013fd_0_000000000000000013fd_0,1714.0,11.8886575699,994.0,3226.91796875,0,0,CFAM3,9.19103336334,858855.0,7915215.0,735.45904541,603.0,5897.19433594,7314.71142578,1368.53930664,0.018942868337,44838.0703125,0,30727,0,0,0.0,sample_25,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000013fe_000000000000000013fe_0_000000000000000013fe_0,1714.0,205.559967041,1010.0,3086.50292969,0,0,CFAM3,17.6764945984,859005.0,7915215.0,720.0,636.0,5838.52734375,7258.88427734,1504.7923584,0.0182569231838,44812.9023438,0,30728,0,0,0.0,sample_26,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000013ff_000000000000000013ff_0_000000000000000013ff_0,1714.0,247.109451294,1033.0,2947.0324707,0,0,CFAM3,11.5041599274,859155.0,7915215.0,720.624755859,666.0,5783.15673828,7144.78808594,1643.44152832,0.0182742234319,44801.03125,0,30729,0,0,0.0,sample_27,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000013e6_000000000000000013e6_0_000000000000000013e6_0,1639.0,59.4207725525,1063.0,3340.92797852,0,0,CFAM3,12.0215044022,853305.0,7915365.0,1230.36584473,124.0,5457.44433594,10730.3164063,3721.08862305,0.0184530690312,46577.1445313,0,31104,0,0,0.0,sample_28,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000013e7_000000000000000013e7_0_000000000000000013e7_0,1639.0,28.4956378937,1066.0,3274.95043945,0,0,CFAM3,9.42157936096,853455.0,7915365.0,1129.29187012,67.0,5494.01513672,10618.8134766,3572.39404297,0.0179538223892,46532.6835938,0,31105,0,0,0.0,sample_29,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000013e8_000000000000000013e8_0_000000000000000013e8_0,1639.0,5.33215808868,1049.0,3214.62280273,0,0,CFAM3,17.4248905182,853605.0,7915365.0,1040.09619141,30.0,5534.41064453,10508.2685547,3423.8137207,0.0179605670273,46445.3945313,0,31106,0,0,0.0,sample_30,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000013e9_000000000000000013e9_0_000000000000000013e9_0,1670.0,263.290161133,1020.0,3008.5378418,0,0,CFAM3,8.11811637878,854355.0,7915365.0,782.304260254,90.0,5788.13427734,9970.20605469,2683.28149414,0.0167341511697,46118.0117188,0,31111,0,0,0.0,sample_31,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000013ea_000000000000000013ea_0_000000000000000013ea_0,1670.0,96.8427734375,1010.0,2988.27709961,0,0,CFAM3,17.4709758759,854505.0,7915365.0,785.175109863,30.0,5845.76757813,9864.16210938,2535.84301758,0.0166520997882,46041.5898438,0,31112,0,0,0.0,sample_32,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000013eb_000000000000000013eb_0_000000000000000013eb_0,1670.0,8.13010120392,1002.0,2970.15161133,0,0,CFAM3,1.68760490417,854805.0,7915365.0,722.495666504,30.0,5836.13720703,9654.828125,2241.98583984,0.0171727798879,45931.015625,0,31114,0,0,0.0,sample_33,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000013ec_000000000000000013ec_0_000000000000000013ec_0,1679.0,90.0,1005.0,2972.42333984,2020,0,CFAM3,0.954841256142,854955.0,7915365.0,618.465820313,108.0,5786.96826172,9551.97363281,2095.70996094,0.0173064935952,45859.9882813,0,31115,0,0,0.0,sample_34,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000013ed_000000000000000013ed_0_000000000000000013ed_0,1699.0,95.7105941772,1027.0,3984.4699707,0,0,CFAM3,4.78729057312,858105.0,7915365.0,602.992553711,417.0,5602.85644531,7754.86962891,632.850708008,0.0176806505769,44974.8085938,0,31136,0,0,0.0,sample_35,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000013ee_000000000000000013ee_0_000000000000000013ee_0,1699.0,165.579223633,1013.0,3842.46020508,0,2016,CFAM3,8.56312847137,858255.0,7915365.0,752.396179199,484.0,5630.49707031,7689.89599609,764.852905273,0.0182147715241,44957.7148438,0,31137,0,0,0.0,sample_36,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000013ef_000000000000000013ef_0_000000000000000013ef_0,1714.0,322.274993896,1023.0,3701.08081055,0,0,CFAM3,15.5996141434,858405.0,7915365.0,901.997802734,573.0,5661.97851563,7627.31933594,898.999450684,0.0180797278881,44924.9960938,0,31138,0,0,0.0,sample_37,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000013f0_000000000000000013f0_0_000000000000000013f0_0,1714.0,328.240509033,1047.0,3560.40722656,0,0,CFAM3,5.87557268143,858555.0,7915365.0,900.49987793,510.0,5697.23632813,7567.19873047,1033.1505127,0.0184399932623,44894.234375,0,31139,0,0,0.0,sample_38,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000013f1_000000000000000013f1_0_000000000000000013f1_0,1714.0,103.671310425,1023.0,3420.52636719,0,0,CFAM3,17.6054763794,858705.0,7915365.0,917.823486328,459.0,5733.76855469,7509.59375,1170.0,0.0183470193297,44879.578125,0,31140,0,0,0.0,sample_39,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000013f2_000000000000000013f2_0_000000000000000013f2_0,1714.0,330.255126953,998.0,3281.53930664,0,0,CFAM3,7.65304899216,858855.0,7915365.0,882.836364746,454.0,5760.15625,7454.01904297,1309.73278809,0.0180298294872,44851.7148438,0,31141,0,0,0.0,sample_40,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000013f3_000000000000000013f3_0_000000000000000013f3_0,1714.0,321.842773438,1006.0,3143.56494141,0,0,CFAM3,8.43945026398,859005.0,7915365.0,870.0,497.0,5700.07910156,7349.08154297,1449.96557617,0.0177073609084,44825.765625,0,31142,0,0,0.0,sample_41,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000013f4_000000000000000013f4_0_000000000000000013f4_0,1714.0,255.78414917,1040.0,3006.74243164,0,0,CFAM3,17.8678607941,859155.0,7915365.0,870.517089844,543.0,5643.35009766,7219.03710938,1587.73425293,0.0174793675542,44813.5039063,0,31143,0,0,0.0,sample_42,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000013d7_000000000000000013d7_0_000000000000000013d7_0,1639.0,351.158172607,1035.0,3411.56860352,0,0,CFAM3,10.7444162369,853455.0,7915515.0,1248.51916504,67.0,5639.12207031,10720.2470703,3595.62231445,0.0180201753974,46550.09375,0,31519,0,0,0.0,sample_43,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000013d8_000000000000000013d8_0_000000000000000013d8_0,1639.0,59.4702949524,1014.0,3353.69946289,0,0,CFAM3,10.6835079193,853605.0,7915515.0,1168.46057129,85.0,5678.48583984,10610.7587891,3448.04296875,0.0172815527767,46462.4726563,0,31520,0,0,0.0,sample_44,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000013d9_000000000000000013d9_0_000000000000000013d9_0,1670.0,326.309936523,1009.0,3156.70703125,0,0,CFAM3,10.2193775177,854355.0,7915515.0,931.93347168,95.0,5866.8984375,10076.2939453,2714.12963867,0.0170485731214,46133.7148438,0,31525,0,0,0.0,sample_45,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000013da_000000000000000013da_0_000000000000000013da_0,1670.0,266.185913086,1030.0,3137.40332031,0,0,CFAM3,3.58425235748,854505.0,7915515.0,934.344665527,85.0,5806.37597656,9971.01757813,2568.46264648,0.017162470147,46056.9453125,0,31526,0,0,0.0,sample_46,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000013db_000000000000000013db_0_000000000000000013db_0,1670.0,271.123291016,1003.0,3120.14428711,0,0,CFAM3,11.9991388321,854805.0,7915515.0,829.758972168,30.0,5695.26123047,9763.97460938,2278.81542969,0.0170037019998,45945.8398438,0,31528,0,0,0.0,sample_47,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000013dc_000000000000000013dc_0_000000000000000013dc_0,1679.0,232.125015259,1021.0,3122.30688477,0,0,CFAM3,10.7595844269,854955.0,7915515.0,740.9453125,153.0,5644.86474609,9662.28222656,2135.06445313,0.0168550740927,45874.4570313,0,31529,0,0,0.0,sample_48,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000013dd_000000000000000013dd_0_000000000000000013dd_0,1699.0,135.0,1025.0,4034.41455078,0,0,CFAM3,8.04946708679,858105.0,7915515.0,602.992553711,285.0,5455.13525391,7889.77197266,563.648803711,0.0176001340151,44982.9375,0,31550,0,0,0.0,sample_49,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000013de_000000000000000013de_0_000000000000000013de_0,1699.0,347.660919189,1011.0,3894.2265625,0,0,CFAM3,15.2681865692,858255.0,7915515.0,752.396179199,361.0,5483.52099609,7825.91845703,697.782226563,0.0180122349411,44965.6523438,0,31551,0,0,15.0,sample_50,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000013df_000000000000000013df_0_000000000000000013df_0,1714.0,45.0,999.0,3754.796875,0,0,CFAM3,1.35022449493,858405.0,7915515.0,901.997802734,474.0,5515.84082031,7764.43798828,835.703308105,0.0183598063886,44932.546875,0,31552,0,0,0.0,sample_51,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000013e0_000000000000000013e0_0_000000000000000013e0_0,1714.0,329.036254883,1024.0,3616.21337891,0,0,CFAM3,9.65191173553,858555.0,7915515.0,1050.4284668,384.0,5551.94580078,7705.38769531,977.189819336,0.0183352921158,44901.3984375,0,31553,0,0,0.0,sample_52,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000013e1_000000000000000013e1_0_000000000000000013e1_0,1714.0,17.10272789,1011.0,3478.57739258,0,2015,CFAM3,12.7725782394,858705.0,7915515.0,1063.20275879,313.0,5588.703125,7648.82324219,1114.85424805,0.0184617601335,44886.5507813,0,31554,0,0,15.0,sample_53,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000013e2_000000000000000013e2_0_000000000000000013e2_0,1714.0,116.565048218,1007.0,3342.00537109,0,0,CFAM3,17.5769672394,858855.0,7915515.0,1030.97045898,306.0,5623.77978516,7553.80712891,1253.55493164,0.017218504101,44858.296875,0,31555,0,0,0.0,sample_54,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000013e3_000000000000000013e3_0_000000000000000013e3_0,1714.0,307.874969482,1009.0,3206.63378906,0,0,CFAM3,23.1498947144,859005.0,7915515.0,1020.0,366.0,5562.22998047,7424.31835938,1389.74816895,0.0170436296612,44831.9609375,0,31556,0,0,0.0,sample_55,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000013e4_000000000000000013e4_0_000000000000000013e4_0,1714.0,5.19442796707,1042.0,3072.62109375,0,0,CFAM3,12.9588422775,859155.0,7915515.0,1020.44110107,395.0,5504.08007813,7295.61523438,1514.33154297,0.0171359200031,44819.5039063,0,31557,0,0,0.0,sample_56,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000013e5_000000000000000013e5_0_000000000000000013e5_0,1688.0,39.5596656799,1017.0,2940.15307617,0,0,CFAM3,13.9611129761,859305.0,7915515.0,1020.44110107,443.0,5449.44042969,7167.74023438,1639.32910156,0.0177035089582,44796.0,0,31558,0,0,0.0,sample_57,"{""type"":""MultiPoint"",""coordinates"":[]}"
