system:index,Annual_rai,Aspect_Mad,DEM_Mada_R,Dist_sett,GFW_defory,JRC_defory,JRC_degrady,MERGE_SRC,Slope_Mada,X,Y,dist_defor,dist_edge_,dist_river,dist_route,dist_track,popdens_ma,pressure_s,treated_An,treated_CF,treated_CZ,treated_TT,treeloss19,unique_id,.geo
0000000000000000140f_0000000000000000140f_0_0000000000000000140f_0_0000000000000000140f_0,1707.0,1.2188744545,1049.0,3101.0480957,2023,2023,0,CFAM3,11.0826444626,858855.0,7914765.0,308.868896484,258.0,6311.84619141,6897.71679688,1590.0,0.0192511659116,44801.1132813,0,29485,0,0,0.0,sample_1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000140a_0000000000000000140a_0_0000000000000000140a_0_0000000000000000140a_0,1717.0,321.842773438,1015.0,3719.27416992,2023,2023,0,CFAM3,8.43945026398,858255.0,7914915.0,496.588348389,497.0,6072.31445313,7285.12158203,998.598999023,0.0176653862,44915.546875,0,29895,0,0,0.0,sample_3,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001406_00000000000000001406_0_00000000000000001406_0_00000000000000001406_0,1707.0,2.86240458488,1008.0,3321.74658203,2023,2023,0,CFAM3,9.47392845154,858705.0,7915065.0,626.418395996,592.0,6024.62451172,7232.42675781,1302.49755859,0.0176893528551,44850.078125,0,30312,0,0,0.0,sample_14,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000013f8_000000000000000013f8_0_000000000000000013f8_0_000000000000000013f8_0,1699.0,24.4439544678,1025.0,3939.60668945,2023,2023,0,CFAM3,14.1295032501,858105.0,7915215.0,635.688598633,552.0,5750.69580078,7620.53125,715.611633301,0.0176835730672,44958.0546875,0,30722,0,0,0.0,sample_20,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000013fd_000000000000000013fd_0_000000000000000013fd_0_000000000000000013fd_0,1714.0,11.8886575699,994.0,3226.91796875,2023,2023,0,CFAM3,9.19103336334,858855.0,7915215.0,735.45904541,603.0,5897.19433594,7314.71142578,1368.53930664,0.018942868337,44838.0703125,0,30727,0,0,0.0,sample_25,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000013fe_000000000000000013fe_0_000000000000000013fe_0_000000000000000013fe_0,1714.0,205.559967041,1010.0,3086.50292969,2023,0,0,CFAM3,17.6764945984,859005.0,7915215.0,720.0,636.0,5838.52734375,7258.88427734,1504.7923584,0.0182569231838,44812.9023438,0,30728,0,0,0.0,sample_26,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000013ec_000000000000000013ec_0_000000000000000013ec_0_000000000000000013ec_0,1679.0,90.0,1005.0,2972.42333984,2020,2020,0,CFAM3,0.954841256142,854955.0,7915365.0,618.465820313,108.0,5786.96826172,9551.97363281,2095.70996094,0.0173064935952,45859.9882813,0,31115,0,0,0.0,sample_34,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000013f3_000000000000000013f3_0_000000000000000013f3_0_000000000000000013f3_0,1714.0,321.842773438,1006.0,3143.56494141,2023,2023,0,CFAM3,8.43945026398,859005.0,7915365.0,870.0,497.0,5700.07910156,7349.08154297,1449.96557617,0.0177073609084,44825.765625,0,31142,0,0,0.0,sample_41,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000013dd_000000000000000013dd_0_000000000000000013dd_0_000000000000000013dd_0,1699.0,135.0,1025.0,4034.41455078,2015,0,0,CFAM3,8.04946708679,858105.0,7915515.0,602.992553711,285.0,5455.13525391,7889.77197266,563.648803711,0.0176001340151,44982.9375,0,31550,0,0,0.0,sample_49,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000013df_000000000000000013df_0_000000000000000013df_0_000000000000000013df_0,1714.0,45.0,999.0,3754.796875,2023,2023,0,CFAM3,1.35022449493,858405.0,7915515.0,901.997802734,474.0,5515.84082031,7764.43798828,835.703308105,0.0183598063886,44932.546875,0,31552,0,0,0.0,sample_51,"{""type"":""MultiPoint"",""coordinates"":[]}"
